@attribute ID numeric
@attribute budget numeric
@attribute genre1 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre2 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre3 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre4 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre5 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre6 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute genre7 {Action,Crime,Drama,Thriller,Adventure,Science,Fiction,Western,Fantasy,"",Animation,Family,Disaster,Romance,Mystery,Comedy,War,History,Horror,Sport,Musical,Suspense,Neo-noir,Music,Holiday,Sports,Film,Noir,Indie,Short,Documentary,Foreign,Road,Movie,Erotic,Eastern,TV,movie,Kids,Sporting,Event,Fan,Sci-Fi,&,British}
@attribute popularity numeric
@attribute releasedate date "yyyy-MM-dd"
@attribute revenue numeric
@attribute title string
@attribute voteaverage numeric
@attribute votecount numeric

@data

597,100000000.00,"Action","Science","Fiction","Thriller","","","",7.69,"1991-07-01",520000000.00,"Terminator 2: Judgment Day",7.00,1497
1011,33000000.00,"Crime","Mystery","Thriller","","","","",5.46,"1995-09-22",327311859.00,"Se7en",7.50,1474
1628,32350000.00,"Action","Adventure","Science","Fiction","","","",5.86,"1983-05-25",572700000.00,"Star Wars: Episode VI - Return of the Jedi",7.40,1465
2095,60000000.00,"Action","Drama","Mystery","Thriller","","","",8.37,"2002-06-06",214034224.00,"The Bourne Identity",7.00,1465
908,130000000.00,"Adventure","Fantasy","Family","","","","",6.54,"2004-05-31",789804554.00,"Harry Potter and the Prisoner of Azkaban",6.80,1456
40163,50000000.00,"Comedy","Fantasy","","","","","",4.92,"2012-06-29",543315487.00,"Ted",6.20,1451
4645,25000000.00,"Action","Crime","Thriller","","","","",5.97,"2008-09-25",226830568.00,"Taken",6.90,1447
19503,80000000.00,"Comedy","","","","","","",3.29,"2011-05-25",254455986.00,"The Hangover Part II",5.80,1446
637,63000000.00,"Adventure","Science","Fiction","","","","",9.48,"1993-06-08",920100000.00,"Jurassic Park",6.80,1445
375,90000000.00,"Action","Adventure","Fantasy","Science","Fiction","Thriller","",5.97,"1997-05-09",263920180.00,"The Fifth Element",6.80,1439
971,250000000.00,"Adventure","Fantasy","Family","","","","",4.58,"2009-07-07",933959197.00,"Harry Potter and the Half-Blood Prince",6.70,1423
799,139000000.00,"Action","Fantasy","","","","","",6.85,"2002-05-02",806000000.00,"Spider-Man",6.20,1419
37611,44500000.00,"Drama","Thriller","","","","","",7.06,"2012-10-12",232324128.00,"Argo",6.70,1405
415,20000000.00,"Action","Adventure","","","","","",5.63,"1981-06-12",383000000.00,"Raiders of the Lost Ark",7.10,1399
7020,80000000.00,"Drama","Mystery","Thriller","","","","",5.54,"2010-02-18",294803014.00,"Shutter Island",6.90,1393
43146,120000000.00,"Action","Adventure","Fantasy","Science","Fiction","","",29.21,"2013-07-25",132440673.00,"The Wolverine",6.30,1384
846,90000000.00,"Action","Adventure","Comedy","Science","Fiction","","",5.52,"1997-07-02",589390539.00,"Men in Black",6.40,1381
10945,70000000.00,"Action","Drama","Thriller","War","","","",4.57,"2009-08-21",319131050.00,"Inglourious Basterds",7.20,1374
4024,150000000.00,"Action","Drama","Horror","Science","Fiction","Thriller","",3.80,"2007-12-13",583184161.00,"I Am Legend",6.50,1362
34532,42000000.00,"Action","Comedy","Crime","","","","",4.54,"2012-03-12",53957072.00,"21 Jump Street",6.10,1341
1598,150000000.00,"Action","","","","","","",14.21,"2007-07-02",708226810.00,"Transformers",6.50,1332
43139,100000000.00,"Action","Adventure","Thriller","","","","",7.00,"2012-08-17",312573423.00,"The Expendables 2",5.90,1329
656,11000000.00,"Action","Horror","Science","Fiction","Thriller","","",7.78,"1979-05-25",104931801.00,"Alien",7.10,1327
22534,130000000.00,"Action","Thriller","","","","","",6.28,"2012-08-10",276572938.00,"The Bourne Legacy",5.80,1315
5442,92000000.00,"Animation","","","","","","",4.31,"2004-11-04",631442092.00,"The Incredibles",6.70,1285
42849,60000000.00,"Crime","Drama","Thriller","","","","",4.49,"2012-12-21",217570736.00,"Jack Reacher",6.00,1275
40223,200000000.00,"Action","Drama","Horror","Science","Fiction","Thriller","",8.25,"2013-06-21",531865000.00,"World War Z",6.80,1273
843,150000000.00,"Action","Adventure","Science","Fiction","Thriller","","",4.46,"2003-05-06",738599701.00,"The Matrix Reloaded",6.50,1271
29868,125000000.00,"Action","Adventure","Crime","Mystery","","","",6.00,"2011-12-16",334615000.00,"Sherlock Holmes: A Game of Shadows",6.70,1264
800,200000000.00,"Action","Adventure","Fantasy","","","","",5.75,"2004-06-29",783766341.00,"Spider-Man 2",6.00,1246
7689,200000000.00,"Fantasy","","","","","","",3.91,"2010-03-04",1024299904.00,"Alice in Wonderland",5.90,1246
538,6400000.00,"Action","Science","Fiction","Thriller","","","",5.56,"1984-10-26",78371200.00,"The Terminator",6.70,1243
1123,120000000.00,"Adventure","Animation","Comedy","Sport","Family","","",5.97,"2006-06-08",461983149.00,"Cars",6.20,1221
1629,115000000.00,"Action","Adventure","Science","Fiction","","","",4.79,"1999-05-19",924317558.00,"Star Wars: Episode I - The Phantom Menace",6.10,1220
521,72000000.00,"Action","Drama","History","War","","","",5.18,"1995-05-24",210000000.00,"Braveheart",7.20,1209
1153,75000000.00,"Adventure","Animation","Comedy","Family","","","",7.62,"2005-05-26",532680671.00,"Madagascar",6.10,1208
956,54000000.00,"Action","Fantasy","Thriller","","","","",4.75,"2005-12-11",132511035.00,"V for Vendetta",7.20,1203
844,150000000.00,"Action","Adventure","Science","Fiction","Thriller","","",4.05,"2003-10-26",424988211.00,"The Matrix Revolutions",6.30,1141
6526,200000000.00,"Action","Adventure","Crime","Thriller","","","",4.40,"2008-10-30",586090727.00,"Quantum of Solace",5.90,1133
600,300000000.00,"Action","Adventure","Fantasy","","","","",7.75,"2007-05-19",961000000.00,"Pirates of the Caribbean: At World's End",6.40,1125
42749,75000000.00,"Crime","Thriller","","","","","",10.23,"2013-05-31",117698894.00,"Now You See Me",7.10,1120
32136,93000000.00,"Science","Fiction","","","","","",3.81,"2011-08-04",482860185.00,"Rise of the Planet of the Apes",6.40,1104
419,48000000.00,"Action","Adventure","","","","","",4.81,"1989-05-24",474171806.00,"Indiana Jones and the Last Crusade",7.10,1097
29306,95000000.00,"Adventure","Animation","Comedy","Family","","","",8.31,"2012-07-13",875115339.00,"Ice Age: Continental Drift",6.10,1092
697,22000000.00,"Drama","History","War","","","","",5.42,"1993-11-29",321265768.00,"Schindler's List",7.60,1082
2097,70000000.00,"Action","Drama","Mystery","Thriller","","","",6.01,"2007-08-03",227471070.00,"The Bourne Ultimatum",7.00,1077
1630,120000000.00,"Action","Adventure","Science","Fiction","","","",4.64,"2002-05-16",649398328.00,"Star Wars: Episode II - Attack of the Clones",6.20,1063
1631,113000000.00,"Action","Adventure","Science","Fiction","","","",5.06,"2005-05-19",850000000.00,"Star Wars: Episode III - Revenge of the Sith",6.70,1059
1776,150000000.00,"Animation","Comedy","Family","","","","",5.72,"2007-06-28",623722164.00,"Ratatouille",6.70,1059
4535,150000000.00,"Action","","","","","","",8.61,"2009-06-23",836297228.00,"Transformers: Revenge of the Fallen",6.10,1054
